Feature,Consensus_Score
climate__Temperature_C,0.09029004780065475
ordinal__Growth_Stage_Ord,0.08822719187806832
engineered__Moisture_Deficit,0.08262848861666154
ordinal__Mulching_Used,0.08142962014355722
climate__Wind_Speed_kmh,0.07421555077710214
engineered__Kc,0.07274688156757739
moisture__Soil_Moisture,0.06928575846434348
engineered__Soil_Water_Stress_Ks,0.06541821846926468
engineered__Temp_x_Wind,0.04631004873858786
moisture__Rainfall_mm,0.043989724707269216
target_encoded__Crop_Type_TargetEnc,0.03884450448061259
engineered__Moisture_Deficit_Ratio,0.03708424744339246
engineered__ET0_minus_EffRain,0.03170811720027461
engineered__Rain_Retention,0.01941403030050102
moisture__Previous_Irrigation_mm,0.01688826675677238
climate__Humidity,0.014692563370187666
engineered__Heat_Index,0.012914087377910645
soil__Soil_pH,0.011389195931881748
climate__Sunlight_Hours,0.009743724388837902
engineered__ETc_stressed,0.009633940544296019
soil__Electrical_Conductivity,0.008853478922825356
engineered__Rain_per_Area,0.007557497728699693
engineered__PrevIrr_per_Area,0.007277041928197795
soil__Organic_Carbon,0.006136472889508485
engineered__ETc,0.005947239964059563
engineered__Sun_x_Wind,0.005686591236905472
engineered__VPD,0.004609971468848255
engineered__ETo_approx,0.004592836879705158
engineered__Temp_x_VPD,0.004365275732332304
engineered__Water_Retention_Index,0.0043071383043694145
target_encoded__CropSeason_MeanIrr,0.003097830544819638
ohe__Water_Source_Reservoir,0.0029893345279139705
target_encoded__RegionSoil_AvgMoisture,0.0025503274088263263
ohe__Water_Source_Groundwater,0.0020871972744805046
ohe__Water_Source_River,0.0016800759169800618
ordinal__Season_Ord,0.001480757836628161
ohe__Irrigation_Type_Drip,0.0014533217876565375
target_encoded__Region_MeanIrr,0.0013074473503625684
ohe__Irrigation_Type_Canal,0.0010260122225831216
ohe__Water_Source_Rainwater,0.0009989043328191107
ohe__Irrigation_Type_Rainfed,0.000958005238339526
ohe__Irrigation_Type_Sprinkler,0.0009355855671757659
ohe__Soil_Type_Clay,0.0008071762343658988
ohe__Soil_Type_Silt,0.0007245486816617314
ohe__Season_Rabi,0.0006742703238119829
flags__pH_Alkaline_Flag,0.0003875316760968417
ohe__Soil_Type_Loamy,0.0003647287064532639
engineered__Net_Irrigation_Req,0.0002891493339707554
ohe__Season_Kharif,0.0
ohe__Soil_Type_Sandy,0.0
ohe__Season_Zaid,0.0
flags__pH_Acidic_Flag,0.0
engineered__Effective_Rainfall,0.0
